[*] Connected to USB device: Device(id="emulator-5554", name="Android Emulator 5554", type='usb')
设备上运行的进程1:Process(pid=1, name="init", parameters={})
设备上运行的进程2:Process(pid=1033, name="init", parameters={})
设备上运行的进程3:Process(pid=1034, name="init", parameters={})
设备上运行的进程4:Process(pid=1035, name="ueventd", parameters={})
设备上运行的进程5:Process(pid=1347, name="logd", parameters={})
设备上运行的进程6:Process(pid=1348, name="servicemanager", parameters={})
设备上运行的进程7:Process(pid=1349, name="hwservicemanager", parameters={})
设备上运行的进程8:Process(pid=1350, name="vndservicemanager", parameters={})
设备上运行的进程9:Process(pid=1351, name="android.hardware.keymaster@3.0-service", parameters={})
设备上运行的进程10:Process(pid=1352, name="vold", parameters={})
设备上运行的进程11:Process(pid=1402, name="netd", parameters={})
设备上运行的进程12:Process(pid=1403, name="zygote64", parameters={})
设备上运行的进程13:Process(pid=1404, name="zygote", parameters={})
设备上运行的进程14:Process(pid=1406, name="android.hidl.allocator@1.0-service", parameters={})
设备上运行的进程15:Process(pid=1407, name="healthd", parameters={})
设备上运行的进程16:Process(pid=1408, name="vr_hwc", parameters={})
设备上运行的进程17:Process(pid=1409, name="android.hardware.audio@2.0-service", parameters={})
设备上运行的进程18:Process(pid=1410, name="android.hardware.bluetooth@1.0-service-qti", parameters={})
设备上运行的进程19:Process(pid=1411, name="android.hardware.broadcastradio@1.1-service", parameters={})
设备上运行的进程20:Process(pid=1412, name="android.hardware.camera.provider@2.4-service", parameters={})
设备上运行的进程21:Process(pid=1413, name="android.hardware.cas@1.0-service", parameters={})
设备上运行的进程22:Process(pid=1414, name="android.hardware.configstore@1.1-service", parameters={})
设备上运行的进程23:Process(pid=1415, name="android.hardware.drm@1.0-service", parameters={})
设备上运行的进程24:Process(pid=1416, name="android.hardware.drm@1.1-service.clearkey", parameters={})
设备上运行的进程25:Process(pid=1417, name="android.hardware.gatekeeper@1.0-service", parameters={})
设备上运行的进程26:Process(pid=1418, name="android.hardware.gnss@1.0-service", parameters={})
设备上运行的进程27:Process(pid=1419, name="android.hardware.graphics.allocator@2.0-service", parameters={})
