序号,出现次数,时间戳,成交时间,成交价格,成交数量,近60分钟总成交笔,单笔买入成交额,前5日单笔买入成交额
1,1,1698114561939,2023-10-24 10:29:21,46.000,31000,2400,1426000.000,1069875.000
2,1,1698114797875,2023-10-24 10:33:17,46.350,34500,2399,1599075.000,1069875.000
3,1,1698115651686,2023-10-24 10:47:31,46.300,30500,1721,1412150.000,1069875.000
4,1,1698116960285,2023-10-24 11:09:20,46.450,34000,1255,1579300.000,1069875.000
5,1,1698117285132,2023-10-24 11:14:45,46.300,55000,1146,2546500.000,1069875.000
6,1,1698117417666,2023-10-24 11:16:57,46.200,35000,1116,1617000.000,1069875.000
7,1,1698129816332,2023-10-24 14:43:36,46.300,34500,1139,1597350.000,1069875.000
8,1,1698130750275,2023-10-24 14:59:10,46.350,33000,1098,1529550.000,1069875.000
9,1,1698131500710,2023-10-24 15:11:40,46.350,29000,1079,1344150.000,1069875.000
10,1,1698132059285,2023-10-24 15:20:59,46.150,26000,896,1199900.000,1069875.000
11,1,1698133831349,2023-10-24 15:50:31,46.250,24500,822,1133125.000,1069875.000
12,1,1698134121109,2023-10-24 15:55:21,46.250,23500,881,1086875.000,1069875.000
