对比结果,测试异动序号,vv异动序号,时间戳,时间
vv少算的,2,,1698115353717,2023-10-24 10:42:33
vv少算的,3,,1698115563005,2023-10-24 10:46:03
vv少算的,4,,1698115728156,2023-10-24 10:48:48
vv少算的,7,,1698130550631,2023-10-24 14:55:50
vv少算的,9,,1698131213551,2023-10-24 15:06:53
vv少算的,10,,1698131520418,2023-10-24 15:12:00
vv少算的,11,,1698132120674,2023-10-24 15:22:00
vv少算的,12,,1698132185226,2023-10-24 15:23:05
vv多算的,,2,1698115754755,2023-10-24 10:49:14
两边都有的,1,1,1698115266714,2023-10-24 10:41:06
两边都有的,5,3,1698115835509,2023-10-24 10:50:35
两边都有的,6,4,1698116450248,2023-10-24 11:00:50
两边都有的,8,5,1698131137565,2023-10-24 15:05:37
两边都有的,13,6,1698133043988,2023-10-24 15:37:23
两边都有的,14,7,1698134282088,2023-10-24 15:58:02
