序号,出现次数,时间戳,成交时间,成交价格,成交数量,近60分钟总成交笔,单笔买入成交额,前5日单笔买入成交额
1,1,1697768974951,2023-10-20 10:29:34,287.400,14100,5488,4052340.000,3000000.000
2,1,1697769071873,2023-10-20 10:31:11,287.600,40800,4636,11734080.000,3000000.000
3,1,1697769183883,2023-10-20 10:33:03,287.600,20000,4368,5752000.000,3000000.000
4,1,1697769287100,2023-10-20 10:34:47,287.800,26900,4332,7741820.000,3000000.000
5,1,1697769421091,2023-10-20 10:37:01,287.800,32700,4038,9411060.000,3000000.000
6,1,1697769530240,2023-10-20 10:38:50,288.000,34300,3974,9878400.000,3000000.000
7,1,1697769597874,2023-10-20 10:39:57,288.600,22200,3895,6406920.000,3000000.000
8,1,1697769676982,2023-10-20 10:41:16,288.600,14100,3781,4069260.000,3000000.000
9,1,1697769966899,2023-10-20 10:46:06,288.400,20900,3387,6027560.000,3000000.000
10,1,1697770065758,2023-10-20 10:47:45,288.600,23200,3280,6695520.000,3000000.000
11,1,1697770143833,2023-10-20 10:49:03,288.800,26900,3117,7768720.000,3000000.000
12,1,1697770404613,2023-10-20 10:53:24,289.400,10400,2960,3009760.000,3000000.000
13,1,1697770541013,2023-10-20 10:55:41,289.200,17000,2896,4916400.000,3000000.000
14,1,1697770709885,2023-10-20 10:58:29,289.400,22600,2780,6540440.000,3000000.000
15,1,1697770795134,2023-10-20 10:59:55,289.600,29800,2785,8630080.000,3000000.000
16,1,1697770939316,2023-10-20 11:02:19,289.400,10900,2697,3154460.000,3000000.000
17,1,1697771018528,2023-10-20 11:03:38,289.600,29000,2661,8398400.000,3000000.000
18,1,1697771085825,2023-10-20 11:04:45,289.800,22000,2634,6375600.000,3000000.000
19,1,1697771326529,2023-10-20 11:08:46,289.600,10800,2492,3127680.000,3000000.000
20,1,1697772024449,2023-10-20 11:20:24,288.600,12700,2234,3665220.000,3000000.000
21,1,1697772233286,2023-10-20 11:23:53,288.400,23100,2208,6662040.000,3000000.000
22,1,1697772410468,2023-10-20 11:26:50,288.200,21200,2158,6109840.000,3000000.000
23,1,1697772956947,2023-10-20 11:35:56,287.600,22600,2159,6499760.000,3000000.000
24,1,1697773020118,2023-10-20 11:37:00,287.800,28900,2090,8317420.000,3000000.000
25,1,1697773309067,2023-10-20 11:41:49,287.600,30000,1983,8628000.000,3000000.000
26,1,1697773471027,2023-10-20 11:44:31,287.800,29500,1881,8490100.000,3000000.000
27,1,1697773646811,2023-10-20 11:47:26,287.600,20000,1859,5752000.000,3000000.000
28,1,1697773885952,2023-10-20 11:51:25,287.800,44000,1767,12663200.000,3000000.000
29,2,1697774083914,2023-10-20 11:54:43,288.000,36500,1724,10512000.000,3000000.000
30,1,1697774145650,2023-10-20 11:55:45,288.200,26900,1675,7752580.000,3000000.000
31,1,1697778004022,2023-10-20 13:00:04,288.400,10800,1626,3114720.000,3000000.000
32,1,1697778486154,2023-10-20 13:08:06,287.800,22700,1748,6533060.000,3000000.000
33,1,1697778718113,2023-10-20 13:11:58,287.800,15000,1811,4317000.000,3000000.000
34,1,1697778781376,2023-10-20 13:13:01,288.000,26900,1802,7747200.000,3000000.000
35,1,1697778920158,2023-10-20 13:15:20,288.400,33400,1832,9632560.000,3000000.000
36,1,1697779525329,2023-10-20 13:25:25,287.600,15100,1942,4342760.000,3000000.000
37,1,1697779681246,2023-10-20 13:28:01,287.600,38000,1954,10928800.000,3000000.000
38,1,1697779754937,2023-10-20 13:29:14,288.000,21000,1963,6048000.000,3000000.000
39,1,1697779985576,2023-10-20 13:33:05,288.200,20600,1943,5936920.000,3000000.000
40,1,1697780273074,2023-10-20 13:37:53,287.800,21200,2023,6101360.000,3000000.000
41,1,1697780507635,2023-10-20 13:41:47,287.400,24800,2060,7127520.000,3000000.000
42,1,1697780597965,2023-10-20 13:43:17,287.400,24100,2103,6926340.000,3000000.000
43,2,1697780999181,2023-10-20 13:49:59,287.600,26900,2219,7736440.000,3000000.000
44,1,1697781083000,2023-10-20 13:51:23,287.400,17700,2230,5086980.000,3000000.000
45,2,1697781308089,2023-10-20 13:55:08,287.400,24100,2332,6926340.000,3000000.000
46,1,1697781420494,2023-10-20 13:57:00,287.600,13500,2349,3882600.000,3000000.000
47,1,1697781486265,2023-10-20 13:58:06,288.000,21600,2362,6220800.000,3000000.000
48,1,1697782054510,2023-10-20 14:07:34,287.600,23300,2372,6701080.000,3000000.000
49,1,1697782492064,2023-10-20 14:14:52,287.400,22100,2428,6351540.000,3000000.000
50,1,1697782567362,2023-10-20 14:16:07,287.600,26900,2376,7736440.000,3000000.000
51,1,1697782846776,2023-10-20 14:20:46,287.600,18900,2416,5435640.000,3000000.000
