序号,出现次数,时间戳,成交时间,成交价格,成交数量,近60分钟总成交笔,单笔买入成交额,前5日单笔买入成交额
1,1,1697769111530,2023-10-20 10:31:51,287.400,9000,4663,2586600.000,2498300.000
2,1,1697769259642,2023-10-20 10:34:19,287.400,9200,4314,2644080.000,2498300.000
3,1,1697769600941,2023-10-20 10:40:00,288.600,23700,3811,6839820.000,2498300.000
4,1,1697769750070,2023-10-20 10:42:30,288.600,10300,3758,2972580.000,2498300.000
5,1,1697769905334,2023-10-20 10:45:05,288.400,13900,3537,4008760.000,2498300.000
6,1,1697770502198,2023-10-20 10:55:02,289.600,28600,2854,8282560.000,2498300.000
7,1,1697770592344,2023-10-20 10:56:32,289.200,10300,2859,2978760.000,2498300.000
8,1,1697770830688,2023-10-20 11:00:30,289.600,22100,2769,6400160.000,2498300.000
9,1,1697771100829,2023-10-20 11:05:00,289.800,12500,2581,3622500.000,2498300.000
10,1,1697771259620,2023-10-20 11:07:39,289.600,14100,2519,4083360.000,2498300.000
11,1,1697771473473,2023-10-20 11:11:13,289.400,16300,2390,4717220.000,2498300.000
12,1,1697771730315,2023-10-20 11:15:30,289.000,29100,2277,8409900.000,2498300.000
13,1,1697771859783,2023-10-20 11:17:39,288.800,40300,2266,11638640.000,2498300.000
14,1,1697772403638,2023-10-20 11:26:43,288.200,9300,2146,2680260.000,2498300.000
15,1,1697772683028,2023-10-20 11:31:23,288.000,17200,2114,4953600.000,2498300.000
16,1,1697773590578,2023-10-20 11:46:30,287.400,15700,1883,4512180.000,2498300.000
17,1,1697773674636,2023-10-20 11:47:54,287.600,14500,1874,4170200.000,2498300.000
18,1,1697778001089,2023-10-20 13:00:01,288.200,12700,1604,3660140.000,2498300.000
19,1,1697778186969,2023-10-20 13:03:06,288.000,42800,1667,12326400.000,2498300.000
20,1,1697778607922,2023-10-20 13:10:07,288.000,9600,1779,2764800.000,2498300.000
21,1,1697779061104,2023-10-20 13:17:41,288.200,9900,1866,2853180.000,2498300.000
22,1,1697779155936,2023-10-20 13:19:15,288.000,16900,1854,4867200.000,2498300.000
23,1,1697779230398,2023-10-20 13:20:30,287.800,15700,1890,4518460.000,2498300.000
24,1,1697779707319,2023-10-20 13:28:27,287.800,14000,1964,4029200.000,2498300.000
25,1,1697779902505,2023-10-20 13:31:42,288.200,11900,1999,3429580.000,2498300.000
26,1,1697780050180,2023-10-20 13:34:10,288.000,10000,1945,2880000.000,2498300.000
27,1,1697780127288,2023-10-20 13:35:27,287.600,18900,1964,5435640.000,2498300.000
28,1,1697780294242,2023-10-20 13:38:14,287.800,18000,1993,5180400.000,2498300.000
29,1,1697780494821,2023-10-20 13:41:34,287.400,12600,2037,3621240.000,2498300.000
30,1,1697781600029,2023-10-20 14:00:00,288.000,17500,2340,5040000.000,2498300.000
31,1,1697781736905,2023-10-20 14:02:16,287.800,18200,2348,5237960.000,2498300.000
32,1,1697781873778,2023-10-20 14:04:33,287.600,9900,2390,2847240.000,2498300.000
33,1,1697782222216,2023-10-20 14:10:22,287.600,16000,2355,4601600.000,2498300.000
34,1,1697782690865,2023-10-20 14:18:10,287.600,10400,2371,2991040.000,2498300.000
35,1,1697782849978,2023-10-20 14:20:49,287.400,9700,2420,2787780.000,2498300.000
